workload,strategy,run,cost_usd,latency_sec,hypervolume,overhead_sec,n_pareto
Low,B2-WeightedSumGA,0,0.07487353438412768,2380.0784682023937,95.03278899508543,,
Low,B2-WeightedSumGA,1,0.0763032316374928,2270.4756748048217,98.73906731931055,,
Low,B2-WeightedSumGA,2,0.07567439702790002,2257.2867079237203,100.59764245554513,,
Low,B2-WeightedSumGA,3,0.07625907077235333,2277.5763642783236,98.42267379168682,,
Low,B2-WeightedSumGA,4,0.07579651995588643,2261.479221577903,100.14393764687836,,
Low,B2-WeightedSumGA,5,0.07605567508641557,2269.016054969141,99.26043762981008,,
Low,B2-WeightedSumGA,6,0.07598471769120942,2268.110921050943,99.43721398625894,,
Low,B2-WeightedSumGA,7,0.07618508698729137,2267.829279473429,99.09636957058953,,
Low,B2-WeightedSumGA,8,0.07612008047988185,2266.7034413058786,99.27482118285064,,
Low,B2-WeightedSumGA,9,0.07636719683918347,2269.2084507394984,98.6957349076977,,
Low,B2-WeightedSumGA,10,0.06849855399278573,3101.8359868418233,59.92443883999565,,
Low,B2-WeightedSumGA,11,0.07654942201085291,2284.313504639821,97.53609163689954,,
Low,B2-WeightedSumGA,12,0.07601399601589849,2266.36434004046,99.48267235850959,,
Low,B2-WeightedSumGA,13,0.07588995859954062,2269.919854099001,99.50456182922842,,
Low,B2-WeightedSumGA,14,0.07591956891064945,2268.9211774289756,99.50780336526077,,
Low,B2-WeightedSumGA,15,0.07666343622837163,2278.8935905701583,97.63427551575406,,
Low,B2-WeightedSumGA,16,0.07737331043152153,2305.7203835180953,94.9168779909418,,
Low,B2-WeightedSumGA,17,0.0761754949958289,2266.951905244215,99.16230357781919,,
Low,B2-WeightedSumGA,18,0.07559138865676084,2255.103066191568,100.86913145755751,,
Low,B2-WeightedSumGA,19,0.07649457689302835,2277.90044659679,97.98790921457125,,
Low,B2-WeightedSumGA,20,0.07585819168068612,2261.346104229852,100.04124900589537,,
Low,B2-WeightedSumGA,21,0.07589942021646834,2260.2953668206414,100.0264191041726,,
Low,B2-WeightedSumGA,22,0.07608107910501433,2264.0207511828003,99.49393411823218,,
Low,B2-WeightedSumGA,23,0.07620042768790167,2268.1236451490713,99.052681933508,,
Low,B2-WeightedSumGA,24,0.07622181842706259,2279.3932994211787,98.38749937833872,,
Low,B2-WeightedSumGA,25,0.07582164208173518,2257.748450187237,100.30816876171599,,
Low,B2-WeightedSumGA,26,0.07603406474551386,2265.22365338204,99.51061783175392,,
Low,B2-WeightedSumGA,27,0.07658142356005575,2285.61984811812,97.40744398425544,,
Low,B2-WeightedSumGA,28,0.07586791704187018,2262.67301023646,99.94957060252361,,
Low,B2-WeightedSumGA,29,0.08042159970051245,2393.7298680529525,85.07971356015432,,
